商品ID,名称,价格,浏览量,销量,库存
1,MIUI/小米 小米手机4 小米4代 MI4智能4G手机包邮 黑色 D-LTE（4G）/TD-SCD,2100.00,182,10,102
2,苹果（Apple）iPhone 6 Plus (A1524)移动联通电信4G手机 金色 16G,4500.00-6800.00,1405,35,1646
3,Samsung/三星 SM-G8508S GALAXY Alpha四核智能手机 新品 闪耀白,3888.00,233,4,222
4,Huawei/华为 H60-L01 荣耀6 移动4G版智能手机 安卓,1999.00,235,4,523
5,Meizu/魅族 MX4 Pro移动版 八核大屏智能手机 黑色 16G,2499.00,519,10,412
6,vivo X5MAX L 移动4G 八核超薄大屏5.5吋双卡手机vivoX5max,2998.90,363,1,310
7,纽芝兰包包女士2018新款潮百搭韩版时尚单肩斜挎包少女小挎包链条,168.00,438,7,286
8,MARNI Trunk 女士 中号拼色十字纹小牛皮 斜挎风琴包,356.00,329,1,25
9,睡衣女长袖春秋季纯棉韩版女士大码薄款春夏季全棉家居服两件套装,120.00-158.00,406,18,561
10,夏装女装古力娜扎明星同款一字领露肩蓝色蕾丝修身显瘦连衣裙礼服,228.00,454,7,43432
11,夏季复古ins风格网红SP同款 短袖大圆领香槟色蕾丝绣花钉珠连衣裙,160.00-258.00,291,2,36665965
12,ZK星星绣花雪纺连衣裙中长款sukol裙少女心温柔超仙女chic裙子夏,0.01-1000.00,979,3,1487
13,惠普(HP)星14 青春版 14英寸轻薄窄边框笔记本电脑(R5-3500U 8G 256GSSD FHD IPS)银,3499.00,727,66,389
14,华为HUAWEI MateBook 14 2020款全面屏轻薄性能笔记本电脑 十代酷睿(i7 16G 512G MX350 触控屏 多屏协同)银,7388.00,426,12,616
15,华为HUAWEI MateBook 14 2020款全面屏轻薄笔记本电脑 十代酷睿(i5 16G 512G MX350 触控屏 多屏协同)灰,6399.00,485,382,63
16,华为HUAWEI MateBook 14 2020款全面屏轻薄性能笔记本电脑 十代酷睿(i5 8G 512G MX250 office 多屏协同)银,5888.00,478,621,702
20,华为HUAWEI MateBook 14 2020款全面屏轻薄性能笔记本电脑 十代酷睿(i7 16G 512G MX350 触控屏 多屏协同)灰,7388.00,562,685,236
21,华为HUAWEI MateBook 14 2020款全面屏轻薄笔记本电脑 十代酷睿(i5 16G 512G MX350 触控屏 多屏协同)银,6388.00,715,345,10
22,惠普（HP）战66 三代 14英寸轻薄笔记本电脑（i5-10210U 8G 512G PCIe MX250 2G 一年上门+意外 3年保修）,5199.00,20,714,678
23,RedmiBook 14 锐龙版 全金属超轻薄(AMD Ryzen R5-3500U 8G 512G PCIe 全高清）银 游戏笔记本电脑 小米 红米,3699.00,329,195,437
24,RedmiBook 16 锐龙版 超轻薄全面屏(6核R5-4500U 16G 512G 100% sRGB高色域)灰 手提 笔记本电脑 小米 红米,3999.00,586,204,545
25,宏碁(Acer)墨舞EX215 15.6英寸 轻薄 网课 十代酷睿 大屏笔记本(i5-10210U 8G 512GSSD 独显 全高清 防蓝光),3889.00,24,865,579
26,联想ThinkPad E14 锐龙版（1TCD）14英寸轻薄笔记本电脑（锐龙5-4500U 16G 512GSSD IPS高分屏）黑色,4499.00,140,560,430
