房间号,二级分类,品名,单位,单价（元）,数量,合计(元)
401,其他,壁装支架,个,100,1,100
401,物联网,窗户监测模块,个,260,1,260
402,物联网,窗户监测模块,个,260,1,260
403,物联网,窗户监测模块,个,260,1,260
404,物联网,窗户监测模块,个,260,1,260
405,物联网,窗户监测模块,个,260,1,260
406,物联网,窗户监测模块,个,260,1,260
407,物联网,窗户监测模块,个,260,1,260
408,物联网,窗户监测模块,个,260,1,260
409,物联网,窗户监测模块,个,260,1,260
411,物联网,窗户监测模块,个,260,1,260
413,物联网,窗户监测模块,个,260,1,260
401,其他,高保真全向型拾音器,个,680,1,680
401,其他,存储硬盘,块,790,1,790
401,音响及声学设备,数字红外无线麦克风,台,800,1,800
402,音响及声学设备,数字红外无线麦克风,台,800,1,800
403,音响及声学设备,数字红外无线麦克风,台,800,1,800
404,音响及声学设备,数字红外无线麦克风,台,800,1,800
405,音响及声学设备,数字红外无线麦克风,台,800,1,800
406,音响及声学设备,数字红外无线麦克风,台,800,1,800
407,音响及声学设备,数字红外无线麦克风,台,800,1,800
408,音响及声学设备,数字红外无线麦克风,台,800,1,800
409,音响及声学设备,数字红外无线麦克风,台,800,1,800
411,音响及声学设备,数字红外无线麦克风,台,800,1,800
413,音响及声学设备,数字红外无线麦克风,台,800,1,800
401,物联网,智能窗帘控制器,个,1100,1,1100
402,物联网,智能窗帘控制器,个,1100,1,1100
403,物联网,智能窗帘控制器,个,1100,1,1100
404,物联网,智能窗帘控制器,个,1100,1,1100
405,物联网,智能窗帘控制器,个,1100,1,1100
406,物联网,智能窗帘控制器,个,1100,1,1100
407,物联网,智能窗帘控制器,个,1100,1,1100
408,物联网,智能窗帘控制器,个,1100,1,1100
409,物联网,智能窗帘控制器,个,1100,1,1100
411,物联网,智能窗帘控制器,个,1100,1,1100
413,物联网,智能窗帘控制器,个,1100,1,1100
401,物联网,多媒体交互一体机,台,1430,1,1430
402,物联网,多媒体交互一体机,台,1430,1,1430
403,物联网,多媒体交互一体机,台,1430,1,1430
404,物联网,多媒体交互一体机,台,1430,1,1430
405,物联网,多媒体交互一体机,台,1430,1,1430
