产品型号,产品类型,最大吸力(Pa),电池容量(mAh),机身厚度(cm),续航时间(分钟),越障高度(cm),适用面积(㎡),价格(元),核心功能
海尔-G84,续航款,3000,4000,7.2,90,2.5,139,1599,长续航 + 大水箱 + 语音控制
石头-S31,续航款,2500,6000,9.0,120,4.0,181,999,大吸力 + 地毯模式 + 定时清扫
石头-S95,超薄款,3000,5200,6.5,150,3.0,195,3499,大吸力 + 地毯模式 + 定时清扫
海尔-T29,大吸力款,5000,4000,8.0,200,3.5,162,1299,扫拖一体 + 自动回充 + 避障
海尔-X11,扫拖一体,2500,3000,10.5,180,2.5,112,999,大吸力 + 地毯模式 + 定时清扫
云鲸-G91,超薄款,5000,4000,7.2,120,3.0,163,1999,迷你机身 + 小户型专用 + 边刷清洁
科沃斯-T76,迷你款,5000,6000,9.0,200,2.0,111,2499,大吸力 + 地毯模式 + 定时清扫
石头-G66,超薄款,5000,3000,6.5,90,4.0,173,999,扫拖一体 + 自动回充 + 避障
海尔-X73,超薄款,4000,5200,9.0,150,4.0,125,2999,大吸力 + 地毯模式 + 定时清扫
科沃斯-X88,超薄款,3500,6000,9.0,120,3.0,199,1299,迷你机身 + 小户型专用 + 边刷清洁
石头-X49,续航款,3000,2000,9.0,180,2.0,101,2999,扫拖一体 + 自动回充 + 避障
科沃斯-X94,大吸力款,1800,2000,10.5,200,3.0,186,2999,长续航 + 大水箱 + 语音控制
科沃斯-S50,大吸力款,1800,3000,9.0,150,4.0,153,2999,扫拖一体 + 自动回充 + 避障
小米-T49,超薄款,3000,5200,7.2,120,3.0,50,3499,迷你机身 + 小户型专用 + 边刷清洁
科沃斯-S95,迷你款,3500,2000,10.5,150,3.0,63,1999,迷你机身 + 小户型专用 + 边刷清洁
美的-S72,超薄款,5000,3000,8.5,90,4.0,133,3499,迷你机身 + 小户型专用 + 边刷清洁
小米-X81,超薄款,3500,6000,10.5,120,4.0,85,1299,超薄机身 + 床底清扫+APP 控制
海尔-X35,扫拖一体,3000,5200,8.0,90,3.0,82,2999,迷你机身 + 小户型专用 + 边刷清洁
科沃斯-G29,大吸力款,3500,5200,9.0,180,3.0,98,1599,扫拖一体 + 自动回充 + 避障
海尔-S51,迷你款,3500,3000,7.2,150,2.5,152,1999,大吸力 + 地毯模式 + 定时清扫
