accommodation_direct_night,accommodation_direct_orders,accommodation_name,accommodation_order,accommodation_refuse_orders,accommodation_total_night,city,city_avg_actual_night,city_avg_actual_order,city_avg_night,city_avg_order,city_direct_orders,city_direct_refuse_rate,comment_num,inn,level,province,real_accommodation_direct_night,real_accommodation_night,real_accommodation_order,real_city_order,room_num,score,shopping
400,40,上海新天地朗廷酒店,30,3000,70,上海,100,40,,60,70,82%,3679,是,豪华型,上海,30,50,500,505,353,4.6,淮海路/新天地
500,80,上海静安铂尔曼酒店,20,9000,20,上海,600,30,500,60,40,82%,2766,是,豪华型,上海,,70,900,502,287,4.4,上海火车站地区
700,30,上海金茂君悦大酒店,10,3000,30,上海,800,90,900,10,10,87%,10710,是,五星级,上海,50,10,900,508,548,4.5,
400,20,上海玩具总动员酒店,20,5000,20,上海,700,60,100,70,80,87%,14418,是,高档型,上海,70,70,600,502,800,4.7,迪士尼
600,90,美豪丽致酒店(上海嘉定新城中心店),60,2000,30,上海,200,,900,50,40,85%,3345,是,高档型,上海,,40,700,506,251,4.7,
500,70,上海静安昆仑大酒店,20,3000,10,上海,700,40,500,70,50,83%,2845,是,五星级,,80,20,800,508,,4.5,静安寺/南京西路
900,30,上海浦东香格里拉大酒店,70,6000,10,上海,200,50,600,90,50,89%,,是,五星级,上海,70,40,500,500,950,4.5,陆家嘴
800,80,上海静安香格里拉大酒店,70,1000,40,上海,400,90,300,10,10,86%,3764,是,,上海,90,60,200,504,508,4.7,静安寺/南京西路
600,30,上海新天地安达仕酒店,60,4000,10,上海,900,20,300,20,30,87%,2527,是,豪华型,上海,30,60,700,501,307,4.5,淮海路/新天地
900,40,上海龙之梦大酒店,90,8000,30,上海,500,60,900,70,20,85%,,是,五星级,上海,60,40,300,504,511,4.5,静安寺/南京西路
900,20,上海虹口三至喜来登酒店,80,3000,40,上海,900,50,900,40,20,82%,3303,是,五星级,上海,70,20,900,508,471,4.6,四川北路
300,10,上海国际贵都大饭店,90,6000,40,上海,500,20,500,30,60,89%,4141,是,四星级,上海,60,30,800,505,506,4.6,静安寺/南京西路
900,90,上海外滩华尔道夫酒店,60,1000,10,上海,500,90,100,10,30,88%,3476,是,豪华型,上海,20,40,900,507,260,4.6,外滩
500,,国家会展中心上海洲际酒店,10,2000,30,上海,100,70,500,80,90,84%,6398,是,豪华型,上海,50,60,800,505,536,4.6,虹桥机场/国家会展中心
900,90,上海利园国际大酒店,60,8000,30,上海,200,10,700,20,70,82%,3702,是,高档型,上海,40,70,700,501,396,4.6,打浦桥
600,30,上海五角场凯悦酒店,80,7000,20,上海,900,20,900,,60,80%,3621,是,豪华型,上海,20,90,100,505,306,4.6,江湾/五角场
100,20,上海浦东文华东方酒店,30,5000,50,上海,700,60,100,70,60,86%,3526,,五星级,上海,30,30,700,506,362,4.7,陆家嘴
400,50,上海斯格威铂尔曼大酒店,70,1000,20,上海,500,80,200,50,40,81%,4547,是,五星级,上海,30,90,100,504,329,,打浦桥
300,40,上海新锦江大酒店,30,7000,40,上海,500,80,300,50,30,89%,,是,五星级,上海,60,90,600,502,582,4.4,淮海路/新天地
800,20,上海浦西万怡酒店,30,2000,20,上海,300,20,600,20,60,87%,1958,是,高档型,上海,30,,300,508,450,4.6,上海火车站地区
900,50,上海宝华万豪酒店,40,8000,60,上海,500,90,800,70,50,81%,2424,是,豪华型,上海,50,10,700,506,317,,大宁国际
500,30,上海虹桥康得思酒店,90,8000,90,上海,900,90,400,40,60,85%,4563,是,豪华型,上海,90,20,,500,394,4.7,虹桥机场/国家会展中心
900,40,上海锦江汤臣洲际大酒店,,3000,90,上海,600,30,600,20,20,80%,2357,是,五星级,上海,80,70,600,502,418,4.5,陆家嘴
700,90,上海大宁福朋喜来登酒店,50,4000,90,上海,500,40,400,90,90,83%,2564,是,豪华型,上海,,40,900,506,315,4.5,大宁国际
800,90,上海中航虹桥机场泊悦酒店,80,4000,20,上海,600,70,100,80,90,85%,18164,是,豪华型,上海,70,90,,504,456,4.6,虹桥机场/国家会展中心
400,60,上海大酒店,90,2000,10,上海,200,80,600,80,60,84%,4201,是,五星级,上海,90,80,400,503,353,4.6,
800,70,上海静安希尔顿逸林酒店,90,2000,,上海,900,90,400,60,30,84%,711,是,豪华型,上海,20,90,500,507,307,4.2,四川北路
300,10,上海素凯泰酒店,,4000,90,上海,300,80,500,80,20,80%,1422,是,豪华型,上海,90,60,900,505,201,4.6,静安寺/南京西路
300,10,上海静安洲际酒店,80,8000,10,上海,,90,300,50,30,87%,4175,是,五星级,上海,30,10,900,506,424,4.5,上海火车站地区
900,60,上海东方商旅酒店,,2000,50,上海,800,70,600,50,90,85%,1857,是,豪华型,上海,90,40,100,502,168,4.5,外滩
300,20,维也纳国际酒店(上海国展中心曹安公路店),90,1000,70,上海,200,20,900,70,60,80%,2939,是,舒适型,上海,90,60,900,506,233,4.8,虹桥机场/国家会展中心
300,20,中建瑞贝庭臻选公寓酒店(上海彭浦新村地铁站店),60,2000,80,上海,600,70,500,50,50,89%,1364,是,高档型,上海,20,10,200,502,212,4.7,大宁国际
100,90,锦江都城酒店(上海徐家汇南华亭宾馆),90,8000,10,上海,400,70,700,50,80,83%,2638,是,高档型,上海,90,50,300,505,221,4.5,徐家汇
300,40,锦江都城酒店(上海市北店),20,1000,40,上海,500,80,900,80,10,87%,1775,是,高档型,上海,90,80,300,508,142,4.6,大宁国际
300,10,维也纳国际酒店(上海虹桥枢纽青浦地铁站店),50,6000,90,上海,900,30,200,60,40,84%,2944,是,舒适型,上海,70,30,600,503,250,4.8,青浦城区
500,60,美豪酒店(上海长寿路店),10,9000,10,上海,700,40,500,90,70,83%,5052,是,高档型,上海,50,60,700,505,258,4.6,中山公园
200,10,云和夜泊酒店(上海浦东国际机场店),40,3000,10,上海,700,20,500,70,70,80%,7675,是,高档型,上海,70,70,400,502,143,4.9,迪士尼|浦东机场核心
400,60,沪华国际大酒店(上海松江店),80,7000,30,上海,500,10,200,60,70,88%,863,是,高档型,上海,90,10,400,509,192,4.6,佘山/松江大学城
700,60,桔子酒店·精选(上海浦东机场店),40,6000,80,上海,800,10,300,20,30,80%,3252,是,高档型,上海,80,10,600,500,141,4.7,浦东机场核心
800,50,北上海大酒店,60,3000,30,上海,300,80,400,90,80,87%,1734,是,豪华型,上海,10,50,400,500,165,4.5,大宁国际
900,40,麦新格精品酒店(上海东方明珠店),90,7000,90,上海,600,90,400,90,20,80%,9876,是,高档型,上海,20,80,200,505,85,4.9,新国际博览中心|陆家嘴
300,70,上海体院体育交流中心,90,2000,10,上海,100,50,500,10,30,89%,1977,是,高档型,上海,50,70,800,500,176,4.6,江湾/五角场
800,30,上海鲁能JW万豪侯爵酒店,30,2000,70,上海,500,90,600,60,80,82%,545,是,豪华型,上海,40,50,700,500,510,4.6,陆家嘴
100,20,上海新世界丽笙大酒店,20,2000,70,上海,500,30,600,80,30,82%,4085,是,五星级,上海,80,10,600,506,520,4.5,人民广场
100,90,维也纳酒店(上海浦东机场店),70,4000,10,上海,500,60,300,80,10,84%,12556,是,高档型,上海,90,90,500,505,236,4.6,迪士尼|浦东机场核心
200,80,维也纳国际酒店(上海浦东机场自贸区店),80,8000,80,上海,500,50,900,30,20,86%,16950,是,高档型,上海,10,80,300,505,151,4.7,浦东机场核心
200,30,宿适轻奢酒店(上海长寿路地铁站店),10,3000,60,上海,800,60,300,50,20,84%,2970,是,高档型,上海,70,60,300,507,85,4.5,长寿路
500,60,上海金桥中心智选假日酒店,90,8000,30,上海,300,60,200,40,80,87%,2145,是,舒适型,上海,80,60,600,502,192,4.7,浦东金桥
500,90,沪华云清逸湾酒店(上海国际旅游度假区店),50,6000,40,上海,600,60,700,40,60,84%,2796,是,高档型,上海,80,90,300,504,123,4.8,南汇/野生动物园
600,40,上海唐镇智选假日酒店,30,3000,10,上海,200,40,200,20,60,88%,1055,是,舒适型,上海,50,80,100,501,233,4.7,迪士尼
900,80,上海绿瘦酒店,20,5000,10,上海,500,20,700,10,10,82%,2020,是,五星级,上海,40,30,100,503,265,4.7,七宝
900,80,锦江都城经典酒店(上海南京路步行街南京饭店 ),20,3000,90,上海,800,10,500,70,80,88%,6861,是,高档型,上海,60,20,700,504,169,4.7,人民广场
600,60,景莱酒店·臻选(上海徐家汇交大店),10,3000,20,上海,200,70,200,80,80,81%,3305,是,高档型,上海,10,80,800,504,143,4.6,徐家汇
600,50,桔子水晶上海外滩金陵东路酒店,70,4000,50,上海,400,40,500,60,10,89%,1876,是,高档型,上海,10,40,200,505,170,4.8,外滩|淮海路/新天地
800,30,上海陆家嘴万信酒店,50,2000,90,上海,600,90,200,20,80,84%,2762,是,高档型,上海,50,30,200,504,216,4.6,陆家嘴
600,90,美豪丽致酒店(上海交大东川路店),20,4000,10,上海,600,20,900,90,70,87%,2418,是,高档型,上海,20,40,200,509,108,4.7,交大/闵行开发区
700,60,上海国际旅游度假区万怡酒店,80,5000,10,上海,900,40,700,30,20,83%,5835,是,高档型,上海,50,20,100,504,355,4.5,迪士尼
500,70,丽柏酒店(上海武宁路店),40,3000,20,上海,900,70,300,40,90,85%,348,是,舒适型,上海,60,40,700,509,164,4.9,长风公园
