问题,答案
扫地机器人越障能力变差怎么办？,1. 检查万向轮和驱动轮是否缠绕头发、灰尘，及时清理；2. 检查越障传感器是否被遮挡，用干布擦拭干净；3. 若轮子磨损严重，及时更换配件；4. 重启机器人，重新校准避障系统。
扫地机器人报错E1怎么处理？,E1为电池低电量报警，处理方式：1. 立即将机器人放回充电座充电；2. 若无法充电，检查充电座接触点是否有灰尘，用干布擦拭；3. 若充电后仍报错，联系售后检测电池是否损坏。
扫地机器人清洁刷缠头发怎么办？,1. 关闭机器人电源，取下滚刷和边刷；2. 用剪刀小心剪断缠绕的头发，再用毛刷清理残留灰尘；3. 建议每次清扫后及时清理刷体，避免头发堆积；4. 可更换防缠绕滚刷配件。
扫地机器人不会自动回充怎么解决？,1. 检查充电座是否通电，摆放位置是否无遮挡；2. 检查机器人充电接触点是否干净；3. 重新规划家庭地图，确保充电座在机器人的导航范围内；4. 重启机器人，校准导航系统。
扫地机器人清扫时乱跑怎么办？,1. 检查激光雷达是否被遮挡或有灰尘，用干布擦拭；2. 重新建图，删除原有错误地图；3. 检查防撞传感器是否故障，及时报修；4. 清理机器人底部的灰尘和异物。
扫地机器人水箱漏水怎么处理？,1. 立即关闭水箱出水开关，取下水箱清理残留污水；2. 检查水箱密封圈是否脱落或损坏，重新安装或更换；3. 加水时不要超过最大水位线；4. 放置机器人时保持水平，避免倾斜。
扫地机器人APP连接不上怎么办？,1. 检查机器人和手机是否连接同一WiFi；2. 重启机器人和路由器；3. 升级APP和机器人固件；4. 忘记WiFi后重新连接，确保WiFi名称无特殊字符。
扫地机器人吸力变小了怎么解决？,1. 清理尘盒和滤网，滤网可水洗晾干后使用；2. 检查滚刷和吸口是否被异物堵塞；3. 检查风道是否有灰尘堆积，及时清理；4. 确认机器人调至最大吸力模式。
扫地机器人爬不上台阶了怎么办？,1. 检查机器人和手机是否连接同一WiFi；2. 重启机器人和路由器；3. 升级APP和机器人固件；4. 忘记WiFi后重新连接，确保WiFi名称无特殊字符。
越障功能失灵了怎么修？,1. 关闭机器人电源，取下滚刷和边刷；2. 用剪刀小心剪断缠绕的头发，再用毛刷清理残留灰尘；3. 建议每次清扫后及时清理刷体，避免头发堆积；4. 可更换防缠绕滚刷配件。
E1报警是什么意思？,1. 检查充电座是否通电，摆放位置是否无遮挡；2. 检查机器人充电接触点是否干净；3. 重新规划家庭地图，确保充电座在机器人的导航范围内；4. 重启机器人，校准导航系统。
